"chromosome"	"CpG_position"	"M_counts"	"Total_counts"
"chr1"	10469	4	6
"chr1"	10471	4	6
"chr1"	10484	5	5
"chr1"	10489	6	6
"chr1"	10493	5	6
"chr1"	10497	6	6
"chr1"	10525	6	6
"chr1"	10542	7	7
"chr1"	10563	5	7
"chr1"	10571	7	7
"chr1"	10577	5	7
"chr1"	10579	4	6
"chr1"	10589	6	7
"chr1"	10609	6	6
"chr1"	10617	5	5
"chr1"	10620	3	4
"chr1"	10631	1	4
"chr1"	10633	1	4
"chr1"	10636	4	4
"chr1"	10638	4	5
"chr1"	10641	5	5
"chr1"	10644	4	5
"chr1"	10650	6	6
"chr1"	10660	4	6
"chr1"	10662	4	6
"chr1"	10665	6	6
"chr1"	10667	4	6
"chr1"	10670	6	6
"chr1"	10673	5	6
"chr1"	10679	6	6
"chr1"	10689	5	7
"chr1"	10691	5	7
"chr1"	10694	7	7
"chr1"	10696	6	7
"chr1"	10699	8	8
"chr1"	10702	8	8
"chr1"	10708	8	8
"chr1"	10718	8	8
"chr1"	10720	7	8
"chr1"	10723	7	7
"chr1"	10725	6	6
"chr1"	10728	5	5
"chr1"	10731	4	4
"chr1"	10737	3	3
"chr1"	10747	3	3
"chr1"	10749	1	3
"chr1"	10752	3	3
"chr1"	10754	3	3
"chr1"	10757	3	3
"chr1"	10760	3	3
"chr1"	10766	3	3
"chr1"	10776	3	3
"chr1"	10778	3	3
"chr1"	10781	2	3
"chr1"	10783	3	3
"chr1"	10786	3	3
"chr1"	10789	4	5
"chr1"	10795	4	5
"chr1"	10811	2	4
"chr1"	10813	3	4
"chr1"	10816	4	4
"chr1"	10827	4	4
"chr1"	10832	5	5
"chr1"	10838	4	5
"chr1"	10848	3	6
"chr1"	10850	4	5
"chr1"	10853	4	4
"chr1"	10855	4	4
"chr1"	10858	4	4
"chr1"	10861	3	4
"chr1"	10867	3	4
"chr1"	10885	3	3
"chr1"	10887	2	3
"chr1"	10903	1	1
"chr1"	10908	1	1
"chr1"	10914	1	1
"chr1"	10924	1	1
"chr1"	10929	0	1
"chr1"	10931	0	1
"chr1"	10934	1	1
"chr1"	10937	1	1
"chr1"	10943	1	1
"chr1"	10961	0	0
"chr1"	10963	1	1
"chr1"	10979	1	1
"chr1"	10984	1	1
"chr1"	10990	1	1
"chr1"	10998	1	1
"chr1"	11008	1	1
"chr1"	11012	1	1
"chr1"	11027	0	0
"chr1"	11048	0	0
"chr1"	11052	0	0
"chr1"	11055	0	0
"chr1"	11058	0	0
"chr1"	11068	0	0
"chr1"	11082	0	0
"chr1"	11085	0	0
"chr1"	11091	0	0
"chr1"	11093	0	0
"chr1"	11105	0	0
"chr1"	11110	0	0
"chr1"	11116	0	0
"chr1"	11118	0	0
"chr1"	11121	0	0
"chr1"	11129	0	0
"chr1"	11149	0	0
"chr1"	11157	0	0
"chr1"	11163	0	0
"chr1"	11167	0	0
"chr1"	11184	0	0
"chr1"	11200	0	0
"chr1"	11210	0	0
"chr1"	11226	0	0
"chr1"	11239	0	0
"chr1"	11284	0	0
"chr1"	11297	0	0
"chr1"	11300	0	0
"chr1"	11343	0	0
"chr1"	11346	0	0
"chr1"	11404	0	0
"chr1"	11434	0	0
"chr1"	11461	0	0
"chr1"	11480	0	0
"chr1"	11763	4	4
"chr1"	11781	4	4
"chr1"	11792	4	4
"chr1"	11827	4	4
"chr1"	11842	4	4
"chr1"	11868	4	4
"chr1"	11879	4	4
"chr1"	11946	5	5
"chr1"	11960	3	5
"chr1"	12265	2	2
"chr1"	12271	2	2
"chr1"	12278	2	2
"chr1"	12305	2	2
"chr1"	12318	2	2
"chr1"	12331	2	2
"chr1"	12355	3	3
"chr1"	12426	2	2
"chr1"	12506	4	4
"chr1"	12521	4	4
"chr1"	12558	4	4
"chr1"	12586	4	4
"chr1"	12672	1	2
"chr1"	12675	2	2
"chr1"	12679	2	2
"chr1"	12754	1	1
"chr1"	12757	1	1
"chr1"	12773	1	1
"chr1"	12779	1	1
"chr1"	12782	0	1
"chr1"	12807	0	0
"chr1"	12867	2	2
"chr1"	13079	29	32
"chr1"	13216	32	39
"chr1"	13283	54	56
"chr1"	13302	46	62
"chr1"	13417	55	81
"chr1"	13503	88	91
"chr1"	13528	61	76
"chr1"	13537	62	72
"chr1"	13644	14	17
"chr1"	13667	13	14
"chr1"	13693	10	11
"chr1"	13750	12	19
"chr1"	13756	14	21
"chr1"	13823	31	38
"chr1"	13828	29	40
"chr1"	14062	3	31
"chr1"	14179	5	8
"chr1"	14349	8	8
"chr1"	14354	6	8
"chr1"	14435	16	19
"chr1"	14469	26	26
"chr1"	14486	20	23
"chr1"	14521	21	22
"chr1"	14553	27	27
"chr1"	14589	33	33
"chr1"	14653	42	49
"chr1"	14699	51	56
"chr1"	14710	45	55
"chr1"	14716	51	54
"chr1"	14741	48	49
"chr1"	14747	48	49
"chr1"	14773	49	51
"chr1"	14775	49	50
"chr1"	14791	47	50
"chr1"	14888	60	65
"chr1"	14947	46	48
"chr1"	14954	43	46
"chr1"	14975	34	35
"chr1"	15004	28	30
"chr1"	15028	23	25
"chr1"	15045	13	18
"chr1"	15085	7	8
"chr1"	15089	7	7
"chr1"	15171	34	36
"chr1"	15189	38	40
"chr1"	15207	41	43
"chr1"	15239	41	43
"chr1"	15339	18	18
"chr1"	15380	12	12
"chr1"	15389	14	14
"chr1"	15398	17	17
"chr1"	15417	21	21
"chr1"	15513	35	38
"chr1"	15526	43	44
"chr1"	15643	36	38
"chr1"	15720	16	20
"chr1"	15749	13	14
"chr1"	15769	16	17
"chr1"	15789	13	17
"chr1"	15834	21	22
"chr1"	15849	24	25
"chr1"	15865	25	25
"chr1"	15882	26	28
"chr1"	15912	29	30
"chr1"	15955	26	28
"chr1"	16058	36	39
"chr1"	16070	36	39
"chr1"	16082	36	37
"chr1"	16139	44	46
"chr1"	16141	42	44
"chr1"	16243	49	58
"chr1"	16555	21	33
"chr1"	16570	23	29
"chr1"	16617	13	14
"chr1"	16619	14	14
"chr1"	16634	13	13
"chr1"	16646	11	11
"chr1"	16665	7	7
"chr1"	16667	7	7
"chr1"	16731	11	13
"chr1"	16822	27	29
"chr1"	16869	25	26
"chr1"	16932	7	9
"chr1"	16944	6	7
"chr1"	16962	5	6
"chr1"	16974	3	4
"chr1"	17378	27	29
"chr1"	17406	34	34
"chr1"	17452	44	45
"chr1"	17478	49	49
"chr1"	17483	47	49
"chr1"	17492	49	51
"chr1"	17562	30	30
"chr1"	17571	27	28
"chr1"	17584	20	25
"chr1"	17613	21	22
"chr1"	17688	4	4
"chr1"	17694	4	4
"chr1"	17701	4	4
"chr1"	17715	4	4
"chr1"	17853	0	0
"chr1"	17901	0	0
"chr1"	17903	0	0
"chr1"	17925	0	0
"chr1"	17929	0	0
"chr1"	17940	0	0
"chr1"	17964	0	0
"chr1"	17970	0	0
"chr1"	17995	0	0
"chr1"	17999	0	0
"chr1"	18027	0	0
"chr1"	18152	0	0
"chr1"	18213	1	1
"chr1"	18353	1	2
"chr1"	18511	0	0
"chr1"	18564	1	1
"chr1"	18575	1	1
"chr1"	18732	4	4
"chr1"	18768	5	6
"chr1"	18775	7	7
"chr1"	18810	8	8
"chr1"	18827	9	9
"chr1"	18854	6	7
"chr1"	18873	6	6
"chr1"	18880	6	6
"chr1"	18887	6	6
"chr1"	18934	4	4
"chr1"	19015	2	2
"chr1"	19056	2	3
"chr1"	19121	7	7
"chr1"	19132	8	8
"chr1"	19160	11	14
"chr1"	19189	16	18
"chr1"	19248	23	24
"chr1"	19273	23	23
"chr1"	19279	22	22
"chr1"	19283	21	21
"chr1"	19298	17	19
"chr1"	19320	9	10
"chr1"	19322	6	8
"chr1"	19390	2	2
"chr1"	19392	2	2
"chr1"	19508	4	4
"chr1"	19539	6	6
"chr1"	19590	10	10
"chr1"	19683	14	14
"chr1"	19772	21	22
"chr1"	19788	22	22
"chr1"	19888	9	11
"chr1"	19910	6	6
"chr1"	19917	6	6
"chr1"	19941	5	5
"chr1"	20044	22	24
"chr1"	20127	53	67
"chr1"	20129	51	68
"chr1"	20156	53	67
"chr1"	20206	58	75
"chr1"	20234	63	77
"chr1"	20253	51	64
"chr1"	20387	11	16
"chr1"	20480	9	9
"chr1"	20590	10	10
"chr1"	20700	7	8
"chr1"	20741	3	3
"chr1"	20784	2	3
"chr1"	20967	2	3
"chr1"	20983	2	3
"chr1"	21002	2	3
"chr1"	21024	4	4
"chr1"	21066	2	2
"chr1"	21093	1	1
"chr1"	21120	1	1
"chr1"	21139	1	1
"chr1"	21198	0	0
"chr1"	21223	1	1
"chr1"	21252	1	2
"chr1"	21279	2	2
"chr1"	21282	2	2
"chr1"	21350	2	2
"chr1"	21419	4	5
"chr1"	21424	5	5
"chr1"	21502	6	7
"chr1"	21538	7	7
"chr1"	21608	12	13
"chr1"	21616	10	12
"chr1"	21686	11	11
"chr1"	21709	9	9
"chr1"	21736	5	6
"chr1"	21788	1	1
"chr1"	21795	0	1
"chr1"	21797	1	1
"chr1"	21817	0	0
"chr1"	21948	0	0
"chr1"	22025	2	3
"chr1"	22246	0	0
"chr1"	22349	0	0
"chr1"	22410	0	0
"chr1"	22428	0	0
"chr1"	22462	0	0
"chr1"	22464	0	0
"chr1"	22494	0	0
"chr1"	22568	0	0
"chr1"	22674	0	0
"chr1"	22712	0	0
"chr1"	22825	0	0
"chr1"	22839	0	0
"chr1"	22864	0	0
"chr1"	22898	0	0
"chr1"	23002	4	4
"chr1"	23097	3	3
"chr1"	23255	4	4
"chr1"	23398	2	2
"chr1"	23408	1	1
"chr1"	23507	1	1
"chr1"	23548	1	1
"chr1"	23680	1	2
"chr1"	23779	4	4
"chr1"	23822	4	4
"chr1"	23843	4	4
"chr1"	23974	3	3
"chr1"	24017	2	2
"chr1"	24073	1	1
"chr1"	24171	0	0
"chr1"	24226	0	0
"chr1"	24341	0	0
"chr1"	24372	0	0
"chr1"	24412	0	0
"chr1"	24451	0	0
"chr1"	24554	0	0
"chr1"	24638	0	0
"chr1"	24785	1	1
"chr1"	24799	1	1
"chr1"	24810	1	1
"chr1"	24813	1	1
"chr1"	24838	0	1
"chr1"	24900	0	1
"chr1"	24906	1	1
"chr1"	24911	0	1
"chr1"	24926	2	2
"chr1"	24933	2	2
"chr1"	24938	1	2
"chr1"	24957	1	1
"chr1"	25059	1	1
"chr1"	25115	0	0
"chr1"	25381	0	0
"chr1"	25912	1	1
"chr1"	25933	1	1
"chr1"	25974	1	1
"chr1"	26013	0	0
"chr1"	26061	0	0
"chr1"	26481	0	0
"chr1"	26532	0	0
"chr1"	26633	0	0
"chr1"	26790	1	1
"chr1"	26794	1	1
"chr1"	26798	1	1
"chr1"	26803	1	1
"chr1"	26810	1	1
"chr1"	26837	1	1
"chr1"	26862	1	2
"chr1"	26870	2	2
"chr1"	26932	9	9
"chr1"	26957	10	10
"chr1"	26964	11	11
"chr1"	27026	8	8
"chr1"	27028	8	8
"chr1"	27053	5	6
"chr1"	27139	3	3
"chr1"	27145	3	3
"chr1"	27441	2	2
"chr1"	27574	1	1
"chr1"	27670	0	0
"chr1"	27760	0	0
"chr1"	27969	2	7
"chr1"	28167	4	5
"chr1"	28189	4	5
"chr1"	28347	0	2
"chr1"	28409	4	5
"chr1"	28433	2	10
"chr1"	28512	0	20
"chr1"	28660	0	12
"chr1"	28677	0	11
"chr1"	28692	0	11
"chr1"	28705	0	10
"chr1"	28736	0	7
"chr1"	28750	0	5
"chr1"	28752	0	5
"chr1"	28765	0	3
"chr1"	28774	0	3
"chr1"	28793	0	3
"chr1"	28808	0	2
"chr1"	28825	0	2
"chr1"	28840	0	2
"chr1"	28852	0	2
"chr1"	28863	0	2
"chr1"	28865	0	2
"chr1"	28891	0	0
"chr1"	28908	0	0
"chr1"	28912	0	0
"chr1"	28925	0	0
"chr1"	28934	0	0
"chr1"	28936	0	0
"chr1"	28938	0	0
"chr1"	28955	0	0
"chr1"	28964	0	0
"chr1"	28972	0	0
"chr1"	28988	0	0
"chr1"	28994	0	0
"chr1"	29002	0	0
"chr1"	29011	0	0
"chr1"	29021	0	0
"chr1"	29053	0	0
"chr1"	29063	0	0
"chr1"	29074	0	0
"chr1"	29076	0	0
"chr1"	29096	0	0
"chr1"	29101	0	0
"chr1"	29112	0	0
"chr1"	29119	0	0
"chr1"	29123	0	0
"chr1"	29127	0	0
"chr1"	29137	0	0
"chr1"	29140	0	0
"chr1"	29143	0	0
"chr1"	29147	0	0
"chr1"	29158	0	1
"chr1"	29165	0	1
"chr1"	29172	0	1
"chr1"	29176	0	1
"chr1"	29178	0	1
"chr1"	29194	0	1
"chr1"	29205	0	1
"chr1"	29215	0	1
"chr1"	29221	0	1
"chr1"	29230	0	2
"chr1"	29234	0	2
"chr1"	29253	0	3
"chr1"	29267	1	5
"chr1"	29272	0	7
"chr1"	29285	0	12
"chr1"	29298	0	12
"chr1"	29300	0	12
"chr1"	29306	0	12
"chr1"	29310	0	14
"chr1"	29324	0	14
"chr1"	29329	0	14
"chr1"	29337	0	14
"chr1"	29347	0	14
"chr1"	29350	0	14
"chr1"	29353	0	14
"chr1"	29359	0	15
"chr1"	29367	0	15
"chr1"	29373	0	15
"chr1"	29389	0	15
"chr1"	29392	0	16
"chr1"	29403	0	15
"chr1"	29407	0	16
"chr1"	29409	0	16
"chr1"	29415	0	16
"chr1"	29425	0	12
"chr1"	29428	0	12
"chr1"	29431	0	12
"chr1"	29435	0	11
"chr1"	29447	0	8
"chr1"	29456	0	9
"chr1"	29460	0	9
"chr1"	29462	0	9
"chr1"	29476	0	8
"chr1"	29479	0	8
"chr1"	29484	0	7
