"chromosome"	"CpG_position"	"M_counts"	"Total_counts"
"chr1"	10469	0	0
"chr1"	10471	0	0
"chr1"	10484	0	0
"chr1"	10489	0	0
"chr1"	10493	0	0
"chr1"	10497	0	0
"chr1"	10525	0	0
"chr1"	10542	0	0
"chr1"	10563	0	0
"chr1"	10571	0	0
"chr1"	10577	0	0
"chr1"	10579	0	0
"chr1"	10589	0	0
"chr1"	10609	0	0
"chr1"	10617	0	0
"chr1"	10620	0	0
"chr1"	10631	0	0
"chr1"	10633	0	0
"chr1"	10636	0	0
"chr1"	10638	1	1
"chr1"	10641	1	1
"chr1"	10644	1	1
"chr1"	10650	1	1
"chr1"	10660	1	1
"chr1"	10662	0	1
"chr1"	10665	1	1
"chr1"	10667	1	1
"chr1"	10670	1	1
"chr1"	10673	1	1
"chr1"	10679	1	1
"chr1"	10689	1	1
"chr1"	10691	1	1
"chr1"	10694	1	1
"chr1"	10696	0	1
"chr1"	10699	1	1
"chr1"	10702	1	1
"chr1"	10708	1	1
"chr1"	10718	1	1
"chr1"	10720	1	1
"chr1"	10723	1	1
"chr1"	10725	1	1
"chr1"	10728	1	1
"chr1"	10731	1	1
"chr1"	10737	1	1
"chr1"	10747	1	1
"chr1"	10749	1	1
"chr1"	10752	0	1
"chr1"	10754	1	1
"chr1"	10757	1	1
"chr1"	10760	1	1
"chr1"	10766	1	1
"chr1"	10776	1	1
"chr1"	10778	1	1
"chr1"	10781	1	1
"chr1"	10783	0	1
"chr1"	10786	0	0
"chr1"	10789	0	0
"chr1"	10795	0	0
"chr1"	10811	0	0
"chr1"	10813	0	0
"chr1"	10816	0	0
"chr1"	10827	1	1
"chr1"	10832	1	1
"chr1"	10838	1	1
"chr1"	10848	1	1
"chr1"	10850	1	1
"chr1"	10853	0	1
"chr1"	10855	1	1
"chr1"	10858	1	1
"chr1"	10861	0	1
"chr1"	10867	1	1
"chr1"	10885	1	1
"chr1"	10887	1	1
"chr1"	10903	1	1
"chr1"	10908	1	1
"chr1"	10914	1	1
"chr1"	10924	1	1
"chr1"	10929	0	1
"chr1"	10931	1	1
"chr1"	10934	0	1
"chr1"	10937	1	1
"chr1"	10943	0	1
"chr1"	10961	1	1
"chr1"	10963	0	1
"chr1"	10979	0	0
"chr1"	10984	0	0
"chr1"	10990	0	0
"chr1"	10998	0	0
"chr1"	11008	0	0
"chr1"	11012	0	0
"chr1"	11027	0	0
"chr1"	11048	0	0
"chr1"	11052	0	0
"chr1"	11055	0	0
"chr1"	11058	0	0
"chr1"	11068	0	0
"chr1"	11082	0	0
"chr1"	11085	0	0
"chr1"	11091	0	0
"chr1"	11093	0	0
"chr1"	11105	0	0
"chr1"	11110	0	0
"chr1"	11116	0	0
"chr1"	11118	0	0
"chr1"	11121	0	0
"chr1"	11129	0	0
"chr1"	11149	0	0
"chr1"	11157	0	0
"chr1"	11163	0	0
"chr1"	11167	0	0
"chr1"	11184	0	0
"chr1"	11200	0	0
"chr1"	11210	0	0
"chr1"	11226	0	0
"chr1"	11239	0	0
"chr1"	11284	0	0
"chr1"	11297	0	0
"chr1"	11300	0	0
"chr1"	11343	0	0
"chr1"	11346	0	0
"chr1"	11404	0	0
"chr1"	11434	0	0
"chr1"	11461	0	0
"chr1"	11480	0	0
"chr1"	11763	2	2
"chr1"	11781	2	2
"chr1"	11792	1	2
"chr1"	11827	1	2
"chr1"	11842	2	2
"chr1"	11868	1	2
"chr1"	11879	2	2
"chr1"	11946	1	2
"chr1"	11960	1	2
"chr1"	12265	7	9
"chr1"	12271	8	9
"chr1"	12278	7	7
"chr1"	12305	5	5
"chr1"	12318	6	6
"chr1"	12331	5	6
"chr1"	12355	6	6
"chr1"	12426	5	6
"chr1"	12506	3	3
"chr1"	12521	3	3
"chr1"	12558	2	3
"chr1"	12586	3	3
"chr1"	12672	1	2
"chr1"	12675	1	2
"chr1"	12679	1	2
"chr1"	12754	1	1
"chr1"	12757	1	1
"chr1"	12773	1	1
"chr1"	12779	1	1
"chr1"	12782	0	1
"chr1"	12807	1	1
"chr1"	12867	5	5
"chr1"	13079	9	12
"chr1"	13216	11	13
"chr1"	13283	12	13
"chr1"	13302	10	14
"chr1"	13417	11	25
"chr1"	13503	30	33
"chr1"	13528	19	30
"chr1"	13537	20	28
"chr1"	13644	15	16
"chr1"	13667	11	13
"chr1"	13693	15	16
"chr1"	13750	15	18
"chr1"	13756	13	18
"chr1"	13823	20	22
"chr1"	13828	19	22
"chr1"	14062	1	5
"chr1"	14179	4	9
"chr1"	14349	8	9
"chr1"	14354	6	9
"chr1"	14435	9	12
"chr1"	14469	13	13
"chr1"	14486	9	10
"chr1"	14521	8	10
"chr1"	14553	8	11
"chr1"	14589	12	13
"chr1"	14653	9	12
"chr1"	14699	8	8
"chr1"	14710	10	12
"chr1"	14716	12	14
"chr1"	14741	14	14
"chr1"	14747	14	14
"chr1"	14773	17	17
"chr1"	14775	17	17
"chr1"	14791	13	15
"chr1"	14888	22	24
"chr1"	14947	19	20
"chr1"	14954	20	20
"chr1"	14975	21	22
"chr1"	15004	21	22
"chr1"	15028	19	22
"chr1"	15045	19	23
"chr1"	15085	19	20
"chr1"	15089	19	19
"chr1"	15171	28	30
"chr1"	15189	22	31
"chr1"	15207	27	28
"chr1"	15239	30	32
"chr1"	15339	30	30
"chr1"	15380	29	30
"chr1"	15389	28	29
"chr1"	15398	28	28
"chr1"	15417	32	32
"chr1"	15513	40	42
"chr1"	15526	40	43
"chr1"	15643	35	37
"chr1"	15720	13	20
"chr1"	15749	15	15
"chr1"	15769	12	12
"chr1"	15789	8	8
"chr1"	15834	7	7
"chr1"	15849	5	5
"chr1"	15865	2	2
"chr1"	15882	1	1
"chr1"	15912	0	0
"chr1"	15955	0	0
"chr1"	16058	3	3
"chr1"	16070	3	3
"chr1"	16082	3	4
"chr1"	16139	14	15
"chr1"	16141	14	14
"chr1"	16243	12	28
"chr1"	16555	33	36
"chr1"	16570	10	29
"chr1"	16617	16	16
"chr1"	16619	15	15
"chr1"	16634	11	14
"chr1"	16646	10	10
"chr1"	16665	7	7
"chr1"	16667	6	7
"chr1"	16731	6	7
"chr1"	16822	19	19
"chr1"	16869	14	19
"chr1"	16932	12	14
"chr1"	16944	12	12
"chr1"	16962	12	13
"chr1"	16974	12	15
"chr1"	17378	38	40
"chr1"	17406	41	42
"chr1"	17452	46	51
"chr1"	17478	45	51
"chr1"	17483	45	51
"chr1"	17492	54	55
"chr1"	17562	34	35
"chr1"	17571	36	36
"chr1"	17584	31	34
"chr1"	17613	25	26
"chr1"	17688	19	20
"chr1"	17694	18	19
"chr1"	17701	14	15
"chr1"	17715	14	14
"chr1"	17853	0	0
"chr1"	17901	0	0
"chr1"	17903	0	0
"chr1"	17925	0	0
"chr1"	17929	0	0
"chr1"	17940	0	0
"chr1"	17964	0	0
"chr1"	17970	0	0
"chr1"	17995	0	0
"chr1"	17999	0	0
"chr1"	18027	0	0
"chr1"	18152	0	0
