"chromosome"	"CpG_position"	"M_counts"	"Total_counts"
"chr1"	10469	0	0
"chr1"	10471	0	0
"chr1"	10484	1	1
"chr1"	10489	1	1
"chr1"	10493	1	1
"chr1"	10497	1	1
"chr1"	10525	1	1
"chr1"	10542	1	1
"chr1"	10563	1	1
"chr1"	10571	2	2
"chr1"	10577	1	2
"chr1"	10579	1	2
"chr1"	10589	2	2
"chr1"	10609	1	2
"chr1"	10617	2	2
"chr1"	10620	0	2
"chr1"	10631	1	1
"chr1"	10633	1	1
"chr1"	10636	2	2
"chr1"	10638	2	2
"chr1"	10641	1	1
"chr1"	10644	1	2
"chr1"	10650	2	2
"chr1"	10660	1	1
"chr1"	10662	2	2
"chr1"	10665	2	2
"chr1"	10667	2	2
"chr1"	10670	2	2
"chr1"	10673	2	2
"chr1"	10679	2	2
"chr1"	10689	1	1
"chr1"	10691	2	2
"chr1"	10694	2	2
"chr1"	10696	2	2
"chr1"	10699	2	2
"chr1"	10702	2	2
"chr1"	10708	2	2
"chr1"	10718	2	2
"chr1"	10720	1	2
"chr1"	10723	2	2
"chr1"	10725	1	2
"chr1"	10728	2	2
"chr1"	10731	2	2
"chr1"	10737	2	2
"chr1"	10747	2	2
"chr1"	10749	0	2
"chr1"	10752	2	2
"chr1"	10754	2	2
"chr1"	10757	0	2
"chr1"	10760	2	2
"chr1"	10766	2	2
"chr1"	10776	1	2
"chr1"	10778	1	2
"chr1"	10781	2	2
"chr1"	10783	1	2
"chr1"	10786	1	1
"chr1"	10789	1	1
"chr1"	10795	1	1
"chr1"	10811	0	0
"chr1"	10813	0	0
"chr1"	10816	0	0
"chr1"	10827	0	0
"chr1"	10832	0	0
"chr1"	10838	0	0
"chr1"	10848	0	0
"chr1"	10850	0	0
"chr1"	10853	0	0
"chr1"	10855	0	0
"chr1"	10858	0	0
"chr1"	10861	0	0
"chr1"	10867	0	0
"chr1"	10885	0	0
"chr1"	10887	0	0
"chr1"	10903	0	0
"chr1"	10908	0	0
"chr1"	10914	0	0
"chr1"	10924	0	0
"chr1"	10929	0	0
"chr1"	10931	0	0
"chr1"	10934	0	0
"chr1"	10937	0	0
"chr1"	10943	0	0
"chr1"	10961	0	0
"chr1"	10963	0	0
"chr1"	10979	0	0
"chr1"	10984	0	0
"chr1"	10990	0	0
"chr1"	10998	0	0
"chr1"	11008	0	0
"chr1"	11012	0	0
"chr1"	11027	0	0
"chr1"	11048	0	0
"chr1"	11052	0	0
"chr1"	11055	0	0
"chr1"	11058	0	0
"chr1"	11068	0	0
"chr1"	11082	0	0
"chr1"	11085	0	0
"chr1"	11091	0	0
"chr1"	11093	0	0
"chr1"	11105	0	0
"chr1"	11110	0	0
"chr1"	11116	0	0
"chr1"	11118	0	0
"chr1"	11121	0	0
"chr1"	11129	0	0
"chr1"	11149	0	0
"chr1"	11157	0	0
"chr1"	11163	0	0
"chr1"	11167	0	0
"chr1"	11184	0	0
"chr1"	11200	0	0
"chr1"	11210	0	0
"chr1"	11226	0	0
"chr1"	11239	0	0
"chr1"	11284	0	0
"chr1"	11297	0	0
"chr1"	11300	0	0
"chr1"	11343	0	0
"chr1"	11346	0	0
"chr1"	11404	0	0
"chr1"	11434	0	0
"chr1"	11461	0	0
"chr1"	11480	0	0
"chr1"	11763	1	1
"chr1"	11781	1	1
"chr1"	11792	1	1
"chr1"	11827	1	1
"chr1"	11842	2	2
"chr1"	11868	2	2
"chr1"	11879	1	2
"chr1"	11946	3	3
"chr1"	11960	3	4
"chr1"	12265	8	10
"chr1"	12271	9	10
"chr1"	12278	9	9
"chr1"	12305	6	7
"chr1"	12318	8	8
"chr1"	12331	7	7
"chr1"	12355	8	8
"chr1"	12426	4	4
"chr1"	12506	2	2
"chr1"	12521	2	2
"chr1"	12558	2	2
"chr1"	12586	1	1
"chr1"	12672	1	1
"chr1"	12675	1	1
"chr1"	12679	1	1
"chr1"	12754	2	2
"chr1"	12757	2	2
"chr1"	12773	3	3
"chr1"	12779	3	3
"chr1"	12782	1	3
"chr1"	12807	3	3
"chr1"	12867	3	3
"chr1"	13079	7	7
"chr1"	13216	11	13
"chr1"	13283	14	14
"chr1"	13302	10	15
"chr1"	13417	14	23
"chr1"	13503	25	25
"chr1"	13528	18	25
"chr1"	13537	17	22
"chr1"	13644	18	21
"chr1"	13667	13	14
"chr1"	13693	14	18
"chr1"	13750	14	17
"chr1"	13756	10	17
"chr1"	13823	14	17
"chr1"	13828	13	16
"chr1"	14062	0	1
"chr1"	14179	0	0
"chr1"	14349	4	4
"chr1"	14354	4	4
"chr1"	14435	4	6
"chr1"	14469	4	5
"chr1"	14486	4	4
"chr1"	14521	6	6
"chr1"	14553	4	4
"chr1"	14589	6	6
"chr1"	14653	10	13
"chr1"	14699	8	8
"chr1"	14710	12	14
"chr1"	14716	11	11
"chr1"	14741	12	12
"chr1"	14747	13	14
"chr1"	14773	11	12
"chr1"	14775	12	12
"chr1"	14791	14	14
"chr1"	14888	26	26
"chr1"	14947	21	23
"chr1"	14954	21	22
"chr1"	14975	19	21
"chr1"	15004	26	27
"chr1"	15028	24	26
"chr1"	15045	24	26
"chr1"	15085	30	31
"chr1"	15089	31	31
"chr1"	15171	28	28
"chr1"	15189	24	29
"chr1"	15207	30	30
"chr1"	15239	29	31
"chr1"	15339	40	41
"chr1"	15380	40	41
"chr1"	15389	40	43
"chr1"	15398	45	45
"chr1"	15417	47	48
"chr1"	15513	48	52
"chr1"	15526	53	55
"chr1"	15643	37	43
"chr1"	15720	12	22
"chr1"	15749	16	20
"chr1"	15769	14	15
"chr1"	15789	12	13
"chr1"	15834	7	7
"chr1"	15849	5	5
"chr1"	15865	4	4
"chr1"	15882	3	3
"chr1"	15912	0	0
"chr1"	15955	1	1
"chr1"	16058	1	1
"chr1"	16070	2	2
"chr1"	16082	2	2
"chr1"	16139	10	10
"chr1"	16141	7	11
"chr1"	16243	18	27
"chr1"	16555	24	26
"chr1"	16570	5	21
"chr1"	16617	16	16
"chr1"	16619	15	16
"chr1"	16634	12	12
"chr1"	16646	11	11
"chr1"	16665	9	9
"chr1"	16667	10	10
"chr1"	16731	8	9
"chr1"	16822	17	19
"chr1"	16869	15	15
"chr1"	16932	14	15
"chr1"	16944	13	13
"chr1"	16962	15	15
"chr1"	16974	15	16
"chr1"	17378	35	37
"chr1"	17406	35	37
"chr1"	17452	46	46
"chr1"	17478	45	47
"chr1"	17483	45	46
"chr1"	17492	43	45
"chr1"	17562	34	36
"chr1"	17571	34	34
"chr1"	17584	32	32
"chr1"	17613	22	22
"chr1"	17688	10	10
"chr1"	17694	9	9
"chr1"	17701	9	9
"chr1"	17715	6	6
"chr1"	17853	3	3
"chr1"	17901	0	0
"chr1"	17903	0	0
"chr1"	17925	0	0
"chr1"	17929	0	0
"chr1"	17940	0	0
"chr1"	17964	0	0
"chr1"	17970	0	0
"chr1"	17995	0	0
"chr1"	17999	0	0
"chr1"	18027	0	0
"chr1"	18152	0	0
