"chromosome"	"CpG_position"	"M_counts"	"Total_counts"
"chr1"	10469	1	3
"chr1"	10471	1	3
"chr1"	10484	3	3
"chr1"	10489	3	3
"chr1"	10493	2	3
"chr1"	10497	3	3
"chr1"	10525	3	3
"chr1"	10542	2	3
"chr1"	10563	3	3
"chr1"	10571	2	3
"chr1"	10577	2	3
"chr1"	10579	2	3
"chr1"	10589	3	3
"chr1"	10609	0	0
"chr1"	10617	0	0
"chr1"	10620	0	0
"chr1"	10631	0	0
"chr1"	10633	0	0
"chr1"	10636	0	0
"chr1"	10638	1	1
"chr1"	10641	2	2
"chr1"	10644	2	2
"chr1"	10650	2	2
"chr1"	10660	1	2
"chr1"	10662	1	2
"chr1"	10665	1	2
"chr1"	10667	1	2
"chr1"	10670	2	2
"chr1"	10673	2	2
"chr1"	10679	2	2
"chr1"	10689	1	2
"chr1"	10691	1	2
"chr1"	10694	2	2
"chr1"	10696	1	2
"chr1"	10699	2	2
"chr1"	10702	2	2
"chr1"	10708	2	2
"chr1"	10718	2	2
"chr1"	10720	2	2
"chr1"	10723	2	2
"chr1"	10725	2	2
"chr1"	10728	2	2
"chr1"	10731	2	2
"chr1"	10737	1	2
"chr1"	10747	1	2
"chr1"	10749	0	2
"chr1"	10752	2	2
"chr1"	10754	2	2
"chr1"	10757	1	2
"chr1"	10760	1	2
"chr1"	10766	2	2
"chr1"	10776	2	2
"chr1"	10778	0	2
"chr1"	10781	2	2
"chr1"	10783	1	2
"chr1"	10786	1	1
"chr1"	10789	0	0
"chr1"	10795	0	0
"chr1"	10811	0	0
"chr1"	10813	0	0
"chr1"	10816	0	0
"chr1"	10827	0	0
"chr1"	10832	0	0
"chr1"	10838	0	0
"chr1"	10848	0	0
"chr1"	10850	0	0
"chr1"	10853	0	0
"chr1"	10855	0	0
"chr1"	10858	0	0
"chr1"	10861	0	0
"chr1"	10867	0	0
"chr1"	10885	0	0
"chr1"	10887	0	0
"chr1"	10903	0	0
"chr1"	10908	0	0
"chr1"	10914	0	0
"chr1"	10924	0	0
"chr1"	10929	0	0
"chr1"	10931	0	0
"chr1"	10934	0	0
"chr1"	10937	0	0
"chr1"	10943	0	0
"chr1"	10961	0	0
"chr1"	10963	0	0
"chr1"	10979	0	0
"chr1"	10984	0	0
"chr1"	10990	0	0
"chr1"	10998	0	0
"chr1"	11008	0	0
"chr1"	11012	0	0
"chr1"	11027	0	0
"chr1"	11048	0	0
"chr1"	11052	0	0
"chr1"	11055	0	0
"chr1"	11058	0	0
"chr1"	11068	0	0
"chr1"	11082	0	0
"chr1"	11085	0	0
"chr1"	11091	0	0
"chr1"	11093	0	0
"chr1"	11105	0	0
"chr1"	11110	0	0
"chr1"	11116	0	0
"chr1"	11118	0	0
"chr1"	11121	0	0
"chr1"	11129	0	0
"chr1"	11149	0	0
"chr1"	11157	0	0
"chr1"	11163	0	0
"chr1"	11167	0	0
"chr1"	11184	0	0
"chr1"	11200	0	0
"chr1"	11210	0	0
"chr1"	11226	0	0
"chr1"	11239	0	0
"chr1"	11284	0	0
"chr1"	11297	0	0
"chr1"	11300	0	0
"chr1"	11343	0	0
"chr1"	11346	0	0
"chr1"	11404	0	0
"chr1"	11434	0	0
"chr1"	11461	0	0
"chr1"	11480	0	0
"chr1"	11763	0	0
"chr1"	11781	0	0
"chr1"	11792	0	0
"chr1"	11827	1	1
"chr1"	11842	1	1
"chr1"	11868	1	1
"chr1"	11879	1	1
"chr1"	11946	1	1
"chr1"	11960	1	1
"chr1"	12265	2	2
"chr1"	12271	4	4
"chr1"	12278	4	4
"chr1"	12305	2	2
"chr1"	12318	3	3
"chr1"	12331	5	5
"chr1"	12355	6	8
"chr1"	12426	5	5
"chr1"	12506	1	1
"chr1"	12521	0	1
"chr1"	12558	1	1
"chr1"	12586	1	1
"chr1"	12672	1	1
"chr1"	12675	0	1
"chr1"	12679	1	1
"chr1"	12754	0	0
"chr1"	12757	0	0
"chr1"	12773	0	0
"chr1"	12779	1	1
"chr1"	12782	0	1
"chr1"	12807	1	1
"chr1"	12867	4	4
"chr1"	13079	4	4
"chr1"	13216	2	2
"chr1"	13283	2	2
"chr1"	13302	0	1
"chr1"	13417	3	4
"chr1"	13503	8	8
"chr1"	13528	7	9
"chr1"	13537	7	9
"chr1"	13644	6	6
"chr1"	13667	4	4
"chr1"	13693	6	6
"chr1"	13750	10	11
"chr1"	13756	10	11
"chr1"	13823	14	16
"chr1"	13828	14	16
"chr1"	14062	1	6
"chr1"	14179	4	7
"chr1"	14349	4	4
"chr1"	14354	2	4
"chr1"	14435	4	5
"chr1"	14469	4	4
"chr1"	14486	3	3
"chr1"	14521	0	1
"chr1"	14553	0	0
"chr1"	14589	1	1
"chr1"	14653	2	4
"chr1"	14699	2	2
"chr1"	14710	4	4
"chr1"	14716	4	4
"chr1"	14741	7	7
"chr1"	14747	7	7
"chr1"	14773	7	7
"chr1"	14775	7	7
"chr1"	14791	9	9
"chr1"	14888	14	15
"chr1"	14947	8	9
"chr1"	14954	9	9
"chr1"	14975	9	9
"chr1"	15004	9	10
"chr1"	15028	9	10
"chr1"	15045	8	10
"chr1"	15085	11	11
"chr1"	15089	11	11
"chr1"	15171	16	16
"chr1"	15189	12	16
"chr1"	15207	14	15
"chr1"	15239	18	18
"chr1"	15339	15	15
"chr1"	15380	13	13
"chr1"	15389	10	11
"chr1"	15398	10	10
"chr1"	15417	9	10
"chr1"	15513	17	19
"chr1"	15526	19	19
"chr1"	15643	12	15
"chr1"	15720	6	6
"chr1"	15749	5	5
"chr1"	15769	3	3
"chr1"	15789	3	3
"chr1"	15834	2	2
"chr1"	15849	2	2
"chr1"	15865	1	1
"chr1"	15882	1	1
"chr1"	15912	0	0
"chr1"	15955	0	0
"chr1"	16058	1	1
"chr1"	16070	1	1
"chr1"	16082	1	1
"chr1"	16139	7	7
"chr1"	16141	7	7
"chr1"	16243	12	17
"chr1"	16555	10	10
"chr1"	16570	7	12
"chr1"	16617	9	9
"chr1"	16619	8	9
"chr1"	16634	8	9
"chr1"	16646	8	8
"chr1"	16665	4	4
"chr1"	16667	4	4
"chr1"	16731	2	2
"chr1"	16822	8	8
"chr1"	16869	6	7
"chr1"	16932	4	5
"chr1"	16944	5	5
"chr1"	16962	4	4
"chr1"	16974	4	4
"chr1"	17378	24	24
"chr1"	17406	20	21
"chr1"	17452	20	20
"chr1"	17478	17	19
"chr1"	17483	19	19
"chr1"	17492	18	18
"chr1"	17562	8	11
"chr1"	17571	11	11
"chr1"	17584	11	11
"chr1"	17613	7	7
"chr1"	17688	2	2
"chr1"	17694	2	2
"chr1"	17701	3	3
"chr1"	17715	3	3
"chr1"	17853	0	0
"chr1"	17901	0	0
"chr1"	17903	0	0
"chr1"	17925	0	0
"chr1"	17929	0	0
"chr1"	17940	0	0
"chr1"	17964	0	0
"chr1"	17970	0	0
"chr1"	17995	0	0
"chr1"	17999	0	0
"chr1"	18027	0	0
"chr1"	18152	0	0
"chr1"	18213	0	0
"chr1"	18353	2	2
"chr1"	18511	4	4
"chr1"	18564	4	4
"chr1"	18575	4	4
"chr1"	18732	0	0
"chr1"	18768	0	0
"chr1"	18775	0	0
"chr1"	18810	0	0
"chr1"	18827	0	0
"chr1"	18854	0	0
"chr1"	18873	0	0
"chr1"	18880	0	0
"chr1"	18887	0	0
"chr1"	18934	0	0
"chr1"	19015	0	0
"chr1"	19056	0	0
"chr1"	19121	0	0
"chr1"	19132	0	0
"chr1"	19160	0	0
"chr1"	19189	0	0
"chr1"	19248	1	1
"chr1"	19273	2	2
"chr1"	19279	2	2
"chr1"	19283	2	2
"chr1"	19298	2	2
"chr1"	19320	1	2
"chr1"	19322	1	2
"chr1"	19390	3	3
"chr1"	19392	3	3
"chr1"	19508	5	5
"chr1"	19539	5	5
"chr1"	19590	6	6
"chr1"	19683	5	5
"chr1"	19772	0	0
"chr1"	19788	1	1
"chr1"	19888	11	11
"chr1"	19910	12	12
"chr1"	19917	10	12
"chr1"	19941	9	12
"chr1"	20044	17	19
"chr1"	20127	31	33
"chr1"	20129	27	33
"chr1"	20156	27	34
"chr1"	20206	33	42
"chr1"	20234	38	46
"chr1"	20253	32	42
"chr1"	20387	13	18
"chr1"	20480	19	20
"chr1"	20590	8	9
"chr1"	20700	3	4
"chr1"	20741	4	4
"chr1"	20784	2	2
"chr1"	20967	0	0
"chr1"	20983	0	0
"chr1"	21002	0	0
"chr1"	21024	0	0
"chr1"	21066	0	0
"chr1"	21093	0	0
"chr1"	21120	0	0
"chr1"	21139	0	0
"chr1"	21198	0	1
"chr1"	21223	1	1
"chr1"	21252	1	1
"chr1"	21279	2	2
"chr1"	21282	2	2
"chr1"	21350	1	1
"chr1"	21419	2	2
"chr1"	21424	2	2
"chr1"	21502	1	1
"chr1"	21538	0	1
"chr1"	21608	1	1
"chr1"	21616	1	1
"chr1"	21686	0	0
"chr1"	21709	0	0
"chr1"	21736	0	0
"chr1"	21788	0	0
"chr1"	21795	1	1
"chr1"	21797	1	1
"chr1"	21817	1	1
"chr1"	21948	0	0
"chr1"	22025	0	0
"chr1"	22246	0	0
